Date,Solar (Utility) -  GWh,Solar (Utility) - GWh,Wind - GWh,DOY
2024-08-16,,16.782097,1.6204112,229.0
2024-08-17,,13.103936,7.1484488,230.0
2024-08-18,,12.572005,7.5616279,231.0
2024-08-19,,19.416303,8.1417206,232.0
2024-08-20,,19.301207,12.494423,233.0
2024-08-21,,18.121057,9.7271842,234.0
2024-08-22,,17.645601,9.0343859,235.0
2024-08-23,,21.258422,6.6508093,236.0
2024-08-24,,13.804128,9.0000414,237.0
2024-08-25,,15.68096,8.010833700000001,238.0
2024-08-26,,18.820514,6.69007,239.0
2024-08-27,,17.823987000000002,5.2724441,240.0
2024-08-28,,14.627388000000002,8.329925999999999,241.0
2024-08-29,,18.730731,4.4394179000000005,242.0
2024-08-30,,17.922274,4.713648600000001,243.0
2024-08-31,,11.662384,6.2353908,244.0
2024-09-01,,11.446257,7.530537199999999,245.0
2024-09-02,,15.652522,9.4930492,246.0
2024-09-03,,11.329054,12.965439,247.0
2024-09-04,,13.282951,13.943563,248.0
2024-09-05,,16.046711,11.704118,249.0
2024-09-06,,16.790723999999997,10.786685,250.0
2024-09-07,,14.439675,6.618486,251.0
2024-09-08,,13.522049,4.7588283,252.0
2024-09-09,,20.364406,5.605222,253.0
2024-09-10,,20.880421,8.0686224,254.0
2024-09-11,,17.295876,11.260214,255.0
2024-09-12,,12.966156000000002,9.2330262,256.0
2024-09-13,,14.855748,9.6795454,257.0
2024-09-14,,15.117431,11.026993,258.0
2024-09-15,,13.207937,9.7662753,259.0
2024-09-16,,13.979833,10.844063,260.0
2024-09-17,,13.327123,10.658354,261.0
2024-09-18,,12.248667,8.0889014,262.0
2024-09-19,,10.579655,6.1756938,263.0
2024-09-20,,16.900063999999997,1.7744384,264.0
2024-09-21,,15.377391,5.568342400000001,265.0
2024-09-22,,10.343129,5.6584871,266.0
2024-09-23,,18.814355,5.3023397,267.0
2024-09-24,,19.358347,9.201773,268.0
2024-09-25,,16.613296,10.220708,269.0
2024-09-26,,14.590774,6.5092953,270.0
2024-09-27,,19.067057,4.6855342,271.0
2024-09-28,,20.496415,8.6160754,272.0
2024-09-29,,20.681987,3.8001275,273.0
2024-09-30,,21.424166,5.432344,274.0
2024-10-01,,21.098256000000003,9.0095252,275.0
2024-10-02,,18.264437,14.777009,276.0
2024-10-03,,20.464795,14.303139,277.0
2024-10-04,,17.797371,8.6784894,278.0
2024-10-05,,13.193312,8.5667644,279.0
2024-10-06,,10.463443,5.1528203,280.0
2024-10-07,,16.119505999999998,4.6709208,281.0
2024-10-08,,20.815235,6.504449999999999,282.0
2024-10-09,,18.93579,10.675871,283.0
2024-10-10,,20.765001,8.738062,284.0
2024-10-11,,16.444755,8.2894096,285.0
2024-10-12,,13.06539,7.453924799999999,286.0
2024-10-13,,16.471829000000003,13.34117,287.0
2024-10-14,,11.824597,10.138453,288.0
2024-10-15,,15.83416,8.3909261,289.0
2024-10-16,,18.229028,12.642147,290.0
2024-10-17,,15.191299,9.0411332,291.0
2024-10-18,,17.443960999999998,10.423735,292.0
2024-10-19,,18.186775,10.696559,293.0
2024-10-20,,23.492875,6.7806727,294.0
2024-10-21,,23.912518,6.132323599999999,295.0
2024-10-22,,21.131298,5.838386900000001,296.0
2024-10-23,,24.230734,4.3423846,297.0
2024-10-24,,20.572144,5.7053299,298.0
2024-10-25,,18.062892,7.477934599999999,299.0
2024-10-26,,16.691011999999997,7.3949916,300.0
2024-10-27,,14.184085,13.447765,301.0
2024-10-28,,14.569695,6.0045129,302.0
2024-10-29,,18.789496,5.2140165,303.0
2024-10-30,,20.765233,10.151358,304.0
2024-10-31,,19.975097,10.616182,305.0
2024-11-01,,22.459934,6.5595503,306.0
2024-11-02,,18.619841,12.577598,307.0
2024-11-03,,15.874647,11.975711,308.0
2024-11-04,,23.641886,9.0160061,309.0
2024-11-05,,25.504426,10.791277,310.0
2024-11-06,,25.100734,8.799042400000001,311.0
2024-11-07,,21.859173,6.8578847,312.0
2024-11-08,,18.000714,3.5347118,313.0
2024-11-09,,24.441793,9.796312,314.0
2024-11-10,,24.385483,9.7096624,315.0
2024-11-11,,21.055149,9.3267582,316.0
2024-11-12,,15.350468,6.1272895,317.0
2024-11-13,,18.3349,6.3821049,318.0
2024-11-14,,22.524215,5.385985499999999,319.0
2024-11-15,,20.460658,10.517911,320.0
2024-11-16,,22.686523,9.3845758,321.0
2024-11-17,,17.902780999999997,13.376011,322.0
2024-11-18,,19.425509,8.065268,323.0
2024-11-19,,12.676619,8.1878103,324.0
2024-11-20,,9.3622189,13.56699,325.0
2024-11-21,,11.420128,11.110958,326.0
2024-11-22,,17.333793,11.153415,327.0
2024-11-23,,22.618947,11.452247,328.0
2024-11-24,,21.232687,11.340711,329.0
2024-11-25,,25.699397,10.54978,330.0
2024-11-26,,26.485717,10.937284,331.0
2024-11-27,,17.611976,8.443768899999998,332.0
2024-11-28,,22.557833,6.2838997,333.0
2024-11-29,,17.682420999999998,7.1658102,334.0
2024-11-30,,10.055643,4.7289601,335.0
2024-12-01,,20.403852,2.9935474,336.0
2024-12-02,,24.031489,5.0200238,337.0
2024-12-03,,14.329211,5.3067842,338.0
2024-12-04,,17.497542000000003,5.7101463,339.0
2024-12-05,,15.461254,9.0129886,340.0
2024-12-06,,27.039021,8.2852375,341.0
2024-12-07,,23.41319,4.9457912,342.0
2024-12-08,,26.032179,4.8970479,343.0
2024-12-09,,23.183673,5.602291500000001,344.0
2024-12-10,,14.465974,2.9356166,345.0
2024-12-11,,16.165648,3.7908926,346.0
2024-12-12,,20.63719,5.6154223000000005,347.0
2024-12-13,,22.787566,7.1683822,348.0
2024-12-14,,24.209228,5.6328669,349.0
2024-12-15,,24.212024,6.8181204,350.0
2024-12-16,,18.608823,11.082295,351.0
2024-12-17,,16.050198,7.508162,352.0
2024-12-18,,13.877412,4.698891400000001,353.0
2024-12-19,,16.861506000000002,8.750266799999999,354.0
2024-12-20,,18.87776,6.421134299999999,355.0
2024-12-21,,20.74927,4.5453612,356.0
2024-12-22,,21.664144,4.7525558,357.0
2024-12-23,,21.282817,5.1254996,358.0
2024-12-24,,23.89794,6.1351202,359.0
2024-12-25,,17.283185,8.013474,360.0
2024-12-26,,18.999538,8.4890023,361.0
2024-12-27,,21.563907,7.1428602,362.0
2024-12-28,,20.336257,2.993476,363.0
2024-12-29,,20.868074,4.2611721,364.0
2024-12-30,,17.628416,5.9972075,365.0
2024-12-31,,25.141212,4.5531843,366.0
2025-01-01,,14.085215,6.7205686,1.0
2025-01-02,,19.787864000000003,4.5931757,2.0
2025-01-03,,22.772915,8.7425465,3.0
2025-01-04,,21.018253,9.1548269,4.0
2025-01-05,,17.833167,9.7003012,5.0
2025-01-06,,23.938477,7.5045198,6.0
2025-01-07,,20.907376,6.8074514,7.0
2025-01-08,,23.550488,6.5363782,8.0
