Date,Latitude,Longitude,temperature_2m_max,sunshine_duration,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,DOY
2024-05-03 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.5905,37957.816,0.0,5.557877,19.08,123
2024-05-04 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.6405,37895.33,0.0,4.6173587,19.17,124
2024-05-05 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.440498,37008.895,0.0,4.0261645,18.41,125
2024-05-06 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.4905,37772.695,0.0,4.964876,19.18,126
2024-05-07 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.190498,34173.066,0.1,7.025667,13.44,127
2024-05-08 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.190498,30967.475,0.0,6.551336,16.43,128
2024-05-09 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.290499,27502.105,0.0,7.151223,10.25,129
2024-05-10 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.790499,8744.275,0.0,5.3851647,8.08,130
2024-05-11 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.7405,34493.0,0.0,4.2201896,15.18,131
2024-05-12 00:00:00+10:00,-20.984182357788086,145.0405731201172,30.3905,36475.1,0.0,3.6359317,17.79,132
2024-05-13 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.690498,37225.152,0.0,3.901282,17.69,133
2024-05-14 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.290499,37321.67,0.0,5.7,18.75,134
2024-05-15 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.9905,34101.145,0.0,5.4424257,15.75,135
2024-05-16 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.540499,33243.703,0.70000005,5.772348,13.29,136
2024-05-17 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.540499,37088.664,0.0,4.7759814,18.05,137
2024-05-18 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.7405,37117.477,0.0,4.88467,18.47,138
2024-05-19 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.8905,37068.62,0.0,4.8414874,19.27,139
2024-05-20 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.7405,36147.223,0.0,4.7801676,17.97,140
2024-05-21 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.1405,36973.92,0.0,4.6173587,17.7,141
2024-05-22 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.3905,36928.184,0.0,4.428318,18.68,142
2024-05-23 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.1405,36883.594,0.0,5.2038445,18.42,143
2024-05-24 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.1405,17740.703,0.5,7.368175,9.64,144
2024-05-25 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.2405,36615.188,0.0,5.096077,16.46,145
2024-05-26 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.2405,36282.055,0.0,5.4129477,16.5,146
2024-05-27 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.8905,35852.527,0.0,6.0133185,17.35,147
2024-05-28 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.3905,36125.426,0.0,6.258594,16.24,148
2024-05-29 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.9905,30764.717,0.1,7.2498274,11.32,149
2024-05-30 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.0905,30932.424,0.0,7.632169,11.57,150
2024-05-31 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.3905,35651.984,0.0,7.324616,16.15,151
2024-06-01 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.4905,920.752,5.7,4.830114,3.66,152
2024-06-02 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.1405,36513.598,0.0,4.119466,17.99,153
2024-06-03 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.3905,36484.977,0.0,3.436568,17.95,154
2024-06-04 00:00:00+10:00,-20.984182357788086,145.0405731201172,29.3405,36338.527,0.0,5.661272,16.86,155
2024-06-05 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.040499,36314.582,0.0,4.560702,17.53,156
2024-06-06 00:00:00+10:00,-20.984182357788086,145.0405731201172,20.2405,36407.33,0.0,3.7161808,17.65,157
2024-06-07 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.3405,36384.266,0.0,3.436568,17.84,158
2024-06-08 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.3905,36362.664,0.0,3.0232434,17.75,159
2024-06-09 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.7405,36342.535,0.0,3.3301651,17.68,160
