date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-03-05,-1.85,-5.15,98.04,250.39,0.80,0.00,2.11,15.60,4.63,0.95,1.33,1.34,36.47,51.10,56.15,81.89,115980.55,223703.53,30.67,4.18,1216.20,6970.77,2831.63,558.29,842.24,593.03,73.92,64269.33,182379.19,6495606.53,18703390.11,59168.84,488.03,197523.55,1618268.76,574843.80,139696.53,93264.35,147444.35,3366087.16,3936659.06,2204202.29,0.00
2024-03-06,-1.47,-3.01,102.35,252.05,0.92,0.00,1.38,17.97,8.07,1.31,1.44,1.40,37.75,49.83,51.65,84.42,121205.63,226210.82,35.62,0.14,792.42,7641.20,4780.86,775.47,905.86,597.86,89.97,96325.97,94757.30,9119244.10,22679103.33,81276.67,9.63,140602.92,1875784.92,947642.34,163147.39,115672.99,174173.89,3896791.33,4684917.70,3144294.62,0.00
2024-03-07,-1.81,-3.01,92.15,247.27,0.81,0.07,2.12,9.35,7.30,0.15,1.62,1.08,31.98,85.64,57.35,84.88,109145.66,221018.88,31.66,46.14,1220.57,4111.22,4911.49,90.60,996.38,553.66,66.27,29768.93,134587.60,3446475.29,19793532.12,64843.93,2722.72,58159.43,992054.16,655452.31,11545.41,135515.31,93256.96,2509130.79,4550722.01,2084593.02,0.00
2024-03-08,-1.52,-3.14,94.74,256.63,0.82,0.11,2.75,11.91,11.97,0.67,1.65,1.45,44.18,64.99,56.61,83.59,111310.78,229804.16,32.57,145.62,1583.78,5094.55,7776.37,396.94,1020.62,569.26,107.55,89855.00,151586.43,9117376.24,27908135.17,78319.45,33464.46,392917.60,2107110.37,1937589.21,166022.48,163967.46,259265.82,5138934.62,6543772.62,3848440.61,0.00
2024-03-09,-1.83,-5.93,87.10,235.41,0.47,0.07,6.62,13.99,10.26,1.27,1.55,1.51,36.48,99.92,52.67,84.94,102417.64,210278.39,18.06,94.31,3710.06,5952.45,6998.49,750.11,961.74,530.31,80.01,11247.84,19055.86,7196117.22,19508084.58,41781.31,15104.70,868284.70,1646284.69,1464562.90,201868.84,104072.71,217996.55,3913635.45,6827757.76,910744.13,0.00
2024-03-10,-1.89,-6.25,87.27,229.95,0.29,0.11,7.46,13.20,13.23,1.53,1.48,1.42,42.04,98.58,54.45,82.06,102674.82,205184.74,10.10,153.09,4183.22,5536.14,9208.52,903.29,915.27,526.08,93.82,40034.10,28365.58,9605646.36,19008657.46,25761.86,61265.62,1686808.99,2199421.70,3318042.09,379863.48,94554.73,435703.80,5783547.00,5926255.64,1381122.18,0.00
2024-03-11,-1.95,-4.26,94.10,254.24,0.52,0.10,6.76,15.57,13.70,1.59,1.51,1.52,44.77,84.02,53.90,78.67,111363.40,227557.43,19.16,138.50,3815.91,6798.49,8936.13,938.45,932.91,559.12,109.08,60151.53,172795.24,7850555.90,24415170.36,53022.40,58291.28,2284162.30,3899206.69,4511641.41,863823.44,128654.64,480085.45,4908903.49,5801329.29,2523089.93,0.00
2024-03-12,-2.04,-3.33,104.36,254.52,0.53,0.00,4.76,17.49,9.21,1.21,1.39,1.44,42.26,69.37,57.30,76.15,123577.23,227787.49,19.46,1.46,2741.96,7404.38,5867.11,710.63,861.08,581.41,92.72,154571.59,3848.96,9738339.05,22385274.63,50133.73,153.01,731484.47,2362854.28,1125132.93,237838.33,97680.78,230966.17,4210385.27,6891045.28,3198915.86,0.00
2024-03-13,-1.76,-3.81,94.59,263.11,0.24,0.00,3.82,20.93,12.67,2.20,1.00,1.55,45.77,52.78,50.54,65.97,112183.39,235722.75,9.77,0.42,2197.87,8843.19,8219.86,1298.03,636.83,605.50,95.48,146298.25,152480.08,9678759.06,24320281.63,31508.49,32.10,454746.50,2317506.52,1498080.91,271907.49,81922.63,222783.37,5002804.57,5224704.93,3285256.33,0.00
2024-03-14,-1.79,-3.37,90.53,257.61,0.55,0.00,1.08,16.29,7.20,0.36,1.09,1.28,30.13,96.31,43.00,64.61,107566.14,230663.47,20.59,0.15,620.44,7018.36,4599.31,212.53,697.67,580.92,76.57,87543.67,135981.38,5259180.01,21949399.27,44276.31,5.91,65992.63,1666784.88,738650.17,34388.24,93761.07,132148.39,2699415.15,6157589.83,2236782.63,0.00
